publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE,total_usd_disbursement,usd_extended_defl,Status
NA,4,France,12,INT,Int’‘Î©rieur,Ministry of Interior,529.3000912,NA,non-iati
NA,4,France,13,AGRI,AGRI,Ministry of Agriculture,11.95002413,NA,non-iati
NA,4,France,14,DEF,DEF,Ministry of Defense,35.0759015,NA,non-iati
NA,4,France,15,InterMin,INTER,Inter-ministerial,14.37972518,NA,non-iati
NA,4,France,17,MEN,MESR,Ministry of Higher education and Research,1431.087679,NA,non-iati
NA,4,France,22,Proparco,NULL,NULL,977.62443,NA,non-iati
NA,4,France,30,MIN/EQUIPEMENT,NULL,NULL,18.0339938,NA,non-iati
NA,4,France,37,MIN/TRAVAIL,MIN/TRAVAIL,MIN/TRAVAIL,3.38065879,NA,non-iati
NA,4,France,99,MISC,MISC,Miscellaneous,98.52327936,NA,checked
Germany - Ministry for Economic Cooperation and Development,5,Germany,1,BMZ,BMZ,Bundesministerium Wirtschaftliche Zusammenarbeit und Entwicklung,6733.865787,4542.299374,multilateral_added
Germany - Ministry for Economic Cooperation and Development,5,Germany,2,KFW,KFW,Kreditanstalt Wiederaufbau,3857.691594,NA,checked
NA,5,Germany,4,DEG,DEG,German Investment and Development Company,1517.596688,NA,non-iati
NA,5,Germany,5,BMF,BMF,Federal Ministry of Finance,5.02097171,2.650910098,non-iati
NA,5,Germany,7,F O,F O,Foreign Office,1383.10682,172.6853794,non-iati
NA,5,Germany,9,BMU,BMU,"Federal Ministry for the Env., Nature Conservation and Nuclear Safety",317.8691882,80.0084268,non-iati
NA,5,Germany,12,L G,L G,Federal States and Local Governments,1152.961115,NA,non-iati
NA,5,Germany,34,Euler Hermes,Euler Hermes,Euler Hermes Kreditversicherungs-AG,839.63764,NA,non-iati
NA,5,Germany,60,INT,BMI,Federal Ministry of the Interior,19.15039512,3.508144275,non-iati
NA,5,Germany,61,BMVJ,BMVJ,Federal Ministry of Justice and Consumer Protection,5.4969703,0.0364,non-iati
NA,5,Germany,62,BMWi,BMWi,Federal Ministry for Economic Affairs and Energy,6.8430229,19.87108678,non-iati
NA,5,Germany,63,BMEL,BMEL,Federal Ministry of Food and Agriculture,23.2402608,18.08478839,non-iati
NA,5,Germany,64,BMVg,BMVg,Federal Ministry of Defence,3.34373717,NA,non-iati
NA,5,Germany,65,BMFSFJ,BMFSFJ,"Federal Ministry of Family Affairs, Senior Citizens, Women and Youth",2.65358,NA,non-iati
NA,5,Germany,66,BMG,BMG,Federal Ministry of Health,0.3599827,25.47975588,non-iati
NA,5,Germany,67,BMVI,BMVI,Federal Ministry of Transport and Digital Infrastructure,0.28030674,0.214271868,non-iati
NA,5,Germany,68,BMBF,BMBF,Federal Ministry of Education and Research,152.0832182,NA,non-iati
NA,5,Germany,69,BKM,BKM,Federal Government Commissioner for Culture and the Media,211.814772,NA,non-iati
NA,5,Germany,70,Bundestag,Bundestag,German Bundestag,0.78367027,NA,non-iati
NA,5,Germany,71,BMAS,BMAS,Federal Ministry of Labour and Social Affairs,1.08797,17.48903872,non-iati
NA,5,Germany,80,Schleswig-Holstein,Schleswig-Holstein,Federal State of Schleswig-Holstein,1.89253708,NA,non-iati
NA,5,Germany,81,Hamburg,Hamburg,City State of Hamburg,5.24411538,NA,non-iati
NA,5,Germany,82,Niedersachsen,Niedersachsen,Federal State of Lower-Saxony,0.91363564,NA,non-iati
NA,5,Germany,83,Bremen,Bremen,City State of Bremen,0.83160183,NA,non-iati
NA,5,Germany,84,Nordrhein-Westfalen,Nordrhein-Westfalen,Federal State of North Rhine-Westphalia,11.2490241,NA,non-iati
NA,5,Germany,85,Hessen,Hessen,Federal State of Hesse,3.12845318,NA,non-iati
NA,5,Germany,86,Rheinland-Pfalz,Rheinland-Pfalz,Federal State of Rhineland-Palatinate,2.18594534,NA,non-iati
NA,5,Germany,87,Badentemberg,Badenttemberg,Federal State of Badenemberg,3.68202903,NA,non-iati
NA,5,Germany,88,Bayern,Bayern,Federal State of Bavaria,3.90248768,NA,non-iati
NA,5,Germany,89,Saarland,Saarland,Federal State of Saarland,0.37762131,NA,non-iati
NA,5,Germany,90,Berlin,Berlin,City State of Berlin,1.0664371,NA,non-iati
NA,5,Germany,91,Brandenburg,Brandenburg,Federal State of Brandenburg,0.24579069,NA,non-iati
