donor_code,donor_name,agency_code,crs_agency_name,loc_agency_acronym,loc_agency_name,total_usd_disbursement,,
8,Norway,1,NORAD,NORAD,Norwegian Agency for Development Co-operation,848.197092,,
8,Norway,4,MFA,MFA,Ministry of Foreign Affairs,2908.857452,,
8,Norway,7,IN,IN,Innovation Norway,0.601565,,
8,Norway,8,NORFUND,NORFUND,NORFUND,520.0596424,,
8,Norway,9,FK,FK,FK Norway,34.08315167,,
8,Norway,10,OAG,OAG,Office of the Auditor General,1.9912031,,
8,Norway,11,DEF,DEF,Ministry of Defence,4.031213,,
8,Norway,12,ENV,ENV,Ministry of Climate and Environment,116.351789,,
8,Norway,99,MISC,MISC,Miscellaneous,NULL,,
951,OPEC Fund for International Development [OFID],1,OFID,NULL,NULL,1148.289426,,
978,OSCE,1,OSCE,NULL,NULL,130.509138,,
76,Poland,1,MFA,MFA,Ministry of Foreign Affairs,30.11630798,,
76,Poland,2,MSHE,MSHE,Ministry of Science and Higher Education,27.24621838,,
76,Poland,3,INT,MI,Ministry of the Interior,1.807899057,,
76,Poland,4,MCNH,MCNH,Ministry of Culture and National Heritage,2.921231497,,
76,Poland,5,FIN,MF,Ministry of Finance,38.342044,,
76,Poland,6,ENV,ME,Ministry of the Environment,0.403672,,
76,Poland,99,MISC,MISC,Miscellaneous,2.71450939,,
9,Portugal,1,GP,GP,Portuguese Government,259.4442334,,
9,Portugal,2,CICL,IPAD,Institute for Portuguese Development Aid,24.63296955,,
9,Portugal,3,MUNIC,MUNIC,Municipalities,0.056803816,,
9,Portugal,4,SOFID Society for Development Financ,SOFID Society for Development Financing,SOFID Sociedade para o Financiamento do Desenvolvimento,2.680112,,
9,Portugal,99,MISC,MISC,Miscellaneous,6.48150041,,
77,Romania,1,MFA,NULL,NULL,13.75804481,,69.84446468
77,Romania,3,NULL,NULL,NULL,0.00522412,,
77,Romania,4,DEF,NULL,NULL,0.000895588,,
77,Romania,6,NULL,NULL,NULL,0.000852059,,
77,Romania,12,NULL,NULL,NULL,0.004046346,,
77,Romania,13,NULL,NULL,NULL,0.029828234,,
77,Romania,14,JUSTICE,NULL,NULL,0.001055035,,
77,Romania,16,NULL,NULL,NULL,29.91294,,
77,Romania,18,NULL,NULL,NULL,0.000819432,,
77,Romania,20,INT,NULL,NULL,1.159223399,,
77,Romania,21,AGRI,NULL,NULL,0.00741476,,
77,Romania,22,MoH,NULL,NULL,0.6332049,,
77,Romania,26,NULL,NULL,NULL,0.213053496,,
77,Romania,28,EDUC,NULL,NULL,22.9847278,,
77,Romania,29,NULL,NULL,NULL,0.0115247,,
77,Romania,31,GOV,NULL,NULL,1.12161,,
69,Slovak Republic,1,MZVaEZ,NULL,NULL,2.02069,,
69,Slovak Republic,2,SAMRS,NULL,NULL,5.12262,,
69,Slovak Republic,3,FIN,NULL,NULL,3.43108,,
69,Slovak Republic,4,MSVVS,NULL,NULL,3.11798,,
69,Slovak Republic,5,INT,NULL,NULL,2.57795,,
69,Slovak Republic,18,NULL,NULL,NULL,0.09554,,
61,Slovenia,1,FIN,FIN,Ministry of finance,1.356918502,,
61,Slovenia,2,MFA,MFA,Ministry of foreign affairs,7.160688576,,
61,Slovenia,3,INT,INT,Ministry of interior,3.3426432,,
61,Slovenia,4,DEF,DEF,Ministry of Defence,1.8574268,,
61,Slovenia,99,MISC,MISC,Misc.,6.494778719,,
50,Spain,4,AGR,AGR,"Ministry of Agriculture, Fisheries, and Food",1.57651415,,
50,Spain,5,MFA,MFA,Ministry of Foreign Affairs and Co-operation,99.97358878,,
50,Spain,6,ECON,ECON,Ministry of Economy and Competitiveness,3.300621694,,
50,Spain,7,EDUC,EDUC,"Ministry of Education, Culture and Sports",1.86893222,,
50,Spain,8,MPW,MPW,Ministry of Public Works,0.531924156,,
50,Spain,9,MIE,MIE,Ministry of Industry and Energy,0.381871998,,
50,Spain,11,MOH,MOH,Ministry of Health,0.55756002,,
50,Spain,12,EMP,EMP,Ministry of Labour and Social Affairs,21.05235942,,
50,Spain,13,INT,INT,Ministry of Interior,1.06392367,,
50,Spain,14,MPA,MPA,Ministry of Public Administration,0.22110593,,
50,Spain,15,AG,AG,Autonomous Governments,144.4746041,,
50,Spain,16,MUNIC,MUNIC,Municipalities,71.9153891,,
50,Spain,19,DEF,DEF,Ministry of Defence,14.89315198,,
50,Spain,20,UNIV,UNIV,Public Universities,13.29964226,,
50,Spain,21,AECID,AECID,Spanish Agency for International Development Co-operation,333.9554234,,
50,Spain,22,NULL,Oth. Min.,Others ministries,0.2122489,,
10,Sweden,2,MFA,MFA,Ministry of Foreign Affairs,1324.268781,,4260.694963
10,Sweden,6,Sida,Sida,Swedish International Development Authority,2936.426182,,
10,Sweden,11,ENV,NULL,NULL,3.0764672,,
10,Sweden,20,NULL,NULL,NULL,25.69745223,,
10,Sweden,21,NULL,NULL,NULL,4.11901,,
10,Sweden,22,NULL,NULL,NULL,23.9037141,,
10,Sweden,23,NULL,NULL,NULL,21.78990606,,
10,Sweden,24,NULL,NULL,NULL,35.1361053,,
10,Sweden,25,NULL,NULL,NULL,3.2799329,,
10,Sweden,27,NULL,NULL,NULL,5.798129,,
10,Sweden,28,NULL,NULL,NULL,1.902364,,
10,Sweden,29,NULL,NULL,NULL,25.70708473,,
10,Sweden,30,NULL,NULL,NULL,2.41421294,,
10,Sweden,31,NULL,NULL,NULL,0.262394,,
10,Sweden,32,NULL,NULL,NULL,0.2674967,,
10,Sweden,36,SwedFund,NULL,NULL,50.6685434,,
10,Sweden,37,NULL,NULL,NULL,0.40088,,
10,Sweden,38,NULL,NULL,NULL,0.523477,,
11,Switzerland,1,FA,FA,Federal Administration (various departments),568.3268806,,
11,Switzerland,4,SDC,SDC,Swiss Agency for Development and Co-operation,1655.410561,,
11,Switzerland,5,Seco,Seco,State Secretariat for Economic Affairs,477.3280391,,
11,Switzerland,6,DFA,DFA,Federal Department of Foreign Affairs,124.0955225,,
11,Switzerland,11,MUNIC,MUNIC,Municipalities,56.08825711,,
923,UN Peacebuilding Fund [UNPBF],1,UNPBF,NULL,NULL,65.01090398,,
971,UNAIDS,1,UNAIDS,NULL,NULL,238.6720169,,
959,UNDP,1,UNDP,NULL,NULL,462.9682182,,
948,UNECE,1,UNECE,NULL,NULL,14.008016,,
974,UNFPA,1,UNFPA,NULL,NULL,340.0066301,,
967,UNHCR,1,UNHCR,NULL,NULL,480.0821,,
963,UNICEF,1,UNICEF,NULL,NULL,1342.399663,,
576,United Arab Emirates,2,FIN,DOF,Abu Dhabi Department of Finance,3574.86109,,
576,United Arab Emirates,3,ADFD,ADFD,Abu Dhabi Fund for Development,1394.61479,,
576,United Arab Emirates,7,IHC,IHC,International Humanitarian City,10.77179,,
576,United Arab Emirates,8,MBZ,NULL,NULL,0.89554,,
576,United Arab Emirates,9,MICAD,NULL,NULL,14.3447,,
576,United Arab Emirates,17,KBZ,KZF,Khalifa Bin Zayed Al Nahyan Foundation,170.07831,,
576,United Arab Emirates,18,MBR,MRHC,Mohammed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,10.18256,,
576,United Arab Emirates,19,ZBS,ZCHF,Zayed Bin Sultan Al Nahyan Charitable and Humanitarian Foundation,0.65264,,
576,United Arab Emirates,22,RCA,RCA,UAE Red Crescent Authority,106.42612,,
576,United Arab Emirates,25,GOV,OTHER,Other Government Entitites,257.55209,,
576,United Arab Emirates,99,MISC,MISC,Miscellaneous,24.48746,,
12,United Kingdom,1,DFID,DFID,Department for International Development,9809.236117,,
12,United Kingdom,2,CDC,CDC,CDC Capital Partners PLC,608.350974,,
12,United Kingdom,3,FCO,FCO,Foreign & Commonwealth Office,537.4224174,,
12,United Kingdom,4,DECC,DECC,Department of Energy and Climate Change,125.0586536,,
12,United Kingdom,5,ECGD,ECGD,Export Credit Guarantee Department,5.321836563,,
12,United Kingdom,6,HO,HO,Home Office,221.9148,,
12,United Kingdom,7,DEFRA,DEFRA,Department for Environment Food and Rural Affairs,77.24404124,,
12,United Kingdom,8,MOD,MOD,Ministry of Defence,3.553683558,,
12,United Kingdom,11,BIS,BIS,"Department for Business, Innovation and Skills",130.1062221,,
12,United Kingdom,21,SG,SG,Scottish Government,19.26845528,,
12,United Kingdom,22,WAG,WAG,Welsh Assembly Government,1.6998646,,
12,United Kingdom,99,MISC,MISC,Miscellaneous,412.8921453,,
302,United States,1,AID,AID,Agency for International Development,17069.8156,,
302,United States,2,AGR,AGR,Department of Agriculture,306.0224,,
302,United States,6,DTRE,DTRE,Department of Treasury,150.14505,,
302,United States,7,DOD,DOD,Department of Defense,399.03252,,
302,United States,9,INT,INTERIOR,Department of the Interior,185.0477,,
302,United States,10,PEACE,PEACE,Peace Corps,407.96018,,
302,United States,11,STATE,STATE,State Department,5276.64347,,
302,United States,12,TDA,TDA,Trade and Development Agency,39.40671,,
