"","donor_code","donornameE","agency_code","crs_agency_name","loc_agency_acronym","agencynameE","total_usd_disbursement","usd_extended_defl"
"115",5,"Germany",66,"BMG","BMG","Federal Ministry of Health","0.3599827",25.479755877
"116",5,"Germany",67,"BMVI","BMVI","Federal Ministry of Transport and Digital Infrastructure","0.28030674",0.214271868
"117",5,"Germany",68,"BMBF","BMBF","Federal Ministry of Education and Research","152.0832182",NA
"118",5,"Germany",69,"BKM","BKM","Federal Government Commissioner for Culture and the Media","211.814772",NA
"119",5,"Germany",70,"Bundestag","Bundestag","German Bundestag","0.78367027",NA
"120",5,"Germany",71,"BMAS","BMAS","Federal Ministry of Labour and Social Affairs","1.08797",17.48903872
"121",5,"Germany",80,"Schleswig-Holstein","Schleswig-Holstein","Federal State of Schleswig-Holstein","1.89253708",NA
"122",5,"Germany",81,"Hamburg","Hamburg","City State of Hamburg","5.24411538",NA
"123",5,"Germany",82,"Niedersachsen","Niedersachsen","Federal State of Lower-Saxony","0.91363564",NA
"124",5,"Germany",83,"Bremen","Bremen","City State of Bremen","0.83160183",NA
"125",5,"Germany",84,"Nordrhein-Westfalen","Nordrhein-Westfalen","Federal State of North Rhine-Westphalia","11.2490241",NA
"126",5,"Germany",85,"Hessen","Hessen","Federal State of Hesse","3.12845318",NA
"127",5,"Germany",86,"Rheinland-Pfalz","Rheinland-Pfalz","Federal State of Rhineland-Palatinate","2.18594534",NA
"128",5,"Germany",87,"Badentemberg","Badenttemberg","Federal State of Badenemberg","3.68202903",NA
"129",5,"Germany",88,"Bayern","Bayern","Federal State of Bavaria","3.90248768",NA
"130",5,"Germany",89,"Saarland","Saarland","Federal State of Saarland","0.37762131",NA
"131",5,"Germany",90,"Berlin","Berlin","City State of Berlin","1.0664371",NA
"132",5,"Germany",91,"Brandenburg","Brandenburg","Federal State of Brandenburg","0.24579069",NA
"133",5,"Germany",92,"Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","Federal State of Mecklenburg-West Pomerania","0.34644377",NA
"134",5,"Germany",93,"Sachsen-Anhalt","Sachsen-Anhalt","Federal State of Saxony-Anhalt","0.26764095",NA
"135",5,"Germany",94,"Sachsen","Sachsen","Federal State of Saxony","0.14986313",NA
"136",5,"Germany",95,"Thingen","Thingen","Federal State of Thuringia","0.10811988",NA
"137",1311,"Global Alliance for Vaccines and Immunization [GAVI]",1,"GAVI","NULL","NULL","1414.73055",NA
"138",811,"Global Environment Facility [GEF]",1,"GEF","NULL","NULL","601.1596086",NA
"139",811,"Global Environment Facility [GEF]",11,"NULL","NULL","NULL","NULL",NA
"140",811,"Global Environment Facility [GEF]",12,"LDCF","NULL","NULL","3.3853476",NA
"141",811,"Global Environment Facility [GEF]",13,"SCCF","NULL","NULL","1.11712568",NA
"142",1312,"Global Fund",1,"Global Fund","NULL","NULL","2887.143658",NA
"143",1313,"Global Green Growth Institute [GGGI]",1,"NULL","NULL","NULL","15.5247649",NA
"144",40,"Greece",3,"MFA","MFA","Ministry of Foreign Affairs","3.951593568",13.183690964
"145",40,"Greece",4,"MND","MND","Ministry of National Defense","0.492205",0.0184
"146",40,"Greece",5,"MDCS","MDCS","Ministry of Development, Competitiveness & Shipping","0.0166155",1.754214191
